,price,year,manufacturer,model,condition,fuel,odometer,title_status,transmission,type,paint_color
47914,14988,2011.0,chevrolet,silverado 1500 extended cab,excellent,gas,143438.0,clean,automatic,pickup,white
47915,5000,1999.0,mercedes-benz,benz,excellent,gas,175000.0,clean,automatic,coupe,silver
47916,4300,2004.0,honda,accord,,gas,130000.0,salvage,automatic,,
47917,26999,2018.0,toyota,camry xse w/ bird's eye view cameras,,gas,41392.0,clean,automatic,sedan,black
47918,23999,2018.0,kia,sorento lx w/ 3rd row seating,,gas,40309.0,clean,automatic,SUV,white
47919,19999,2018.0,toyota,camry le w/ navigation system,,gas,61292.0,clean,automatic,sedan,silver
47920,16999,2018.0,ford,fusion se w / navigation,,gas,48492.0,clean,automatic,sedan,grey
47921,19999,2018.0,chevrolet,equinox lt awd,,gas,53469.0,clean,automatic,SUV,silver
47922,33999,2019.0,ram,pickup 1500 classic slt 4wd,,gas,47414.0,clean,automatic,pickup,white
47923,22999,2020.0,kia,"sportage lx awd, w/ lane warning",,gas,24280.0,clean,automatic,SUV,grey
47924,19999,2019.0,hyundai,sonata se,,gas,16374.0,clean,automatic,sedan,silver
47925,22999,2020.0,hyundai,"santa fe se awd, w/ lane keeping assist",,gas,38663.0,clean,automatic,SUV,grey
47926,21999,2019.0,hyundai,tucson se awd,,gas,15461.0,clean,automatic,SUV,black
47927,30999,2018.0,gmc,terrain denali awd,,gas,42536.0,clean,automatic,SUV,white
47928,20999,2019.0,toyota,corolla hatchback se,,gas,5490.0,clean,automatic,hatchback,silver
47929,25000,2015.0,jeep,wrangler,excellent,gas,73000.0,clean,manual,,white
47930,10495,2013.0,toyota,prius two hatchback 4d,excellent,hybrid,115603.0,,automatic,other,
47931,8700,2016.0,nissan,sentra,good,gas,102000.0,clean,automatic,sedan,grey
47932,5200,2008.0,toyota,camry,good,gas,141000.0,clean,automatic,sedan,silver
47933,15690,1941.0,chevrolet,,good,gas,1941.0,clean,automatic,,yellow
47934,8000,1962.0,buick,invita,good,gas,64000.0,clean,automatic,sedan,
47935,24995,2013.0,,CHEV. 1500 4X4,excellent,gas,96909.0,clean,automatic,truck,silver
47936,9995,2013.0,honda,civic lx,excellent,gas,82070.0,clean,automatic,coupe,
47937,6500,2008.0,honda,civic,like new,gas,169000.0,clean,automatic,sedan,silver
47938,9500,2014.0,,Scion xB,,gas,125104.0,clean,automatic,sedan,silver
47939,20958,2014.0,lexus,is 250,,gas,85692.0,clean,automatic,sedan,black
47940,14995,1980.0,mercedes-benz,benz 450sl,excellent,gas,72000.0,clean,automatic,convertible,green
47941,9999,2014.0,ford,f150,,gas,123000.0,clean,automatic,,
47942,12995,2011.0,honda,odyssey ex-l,excellent,gas,111559.0,clean,automatic,van,
47943,6900,2012.0,jeep,liberty,excellent,gas,140000.0,clean,automatic,offroad,blue
47944,15900,2014.0,kia,sorento,,gas,109622.0,clean,automatic,SUV,grey
47945,21685,2014.0,jeep,grand cherokee,,gas,97764.0,clean,automatic,SUV,black
47946,24990,2017.0,lexus,es 350 sedan 4d,good,gas,40338.0,clean,automatic,sedan,
47947,15990,2018.0,kia,soul wagon 4d,good,gas,26506.0,clean,other,wagon,silver
47948,23990,2015.0,cadillac,srx premium collection,good,gas,62050.0,clean,other,SUV,brown
47949,33990,2017.0,dodge,challenger r/t shaker,good,gas,11087.0,clean,other,coupe,red
47950,24990,2018.0,acura,tlx 3.5 w/technology pkg,good,other,45464.0,clean,other,sedan,blue
47951,25990,2019.0,subaru,crosstrek 2.0i limited,good,other,7984.0,clean,other,hatchback,white
47952,12990,2013.0,chevrolet,impala lt sedan 4d,good,other,57660.0,clean,automatic,sedan,black
47953,20990,2015.0,honda,accord ex-l sedan 4d,good,gas,11410.0,clean,other,sedan,
47954,22990,2018.0,subaru,forester 2.5i premium,good,other,20261.0,clean,other,hatchback,blue
47955,25990,2013.0,ram,1500 quad cab sport pickup,good,gas,81852.0,clean,other,pickup,black
47956,20590,2020.0,toyota,corolla le sedan 4d,good,gas,1688.0,clean,other,sedan,blue
